location_id,location_name,country_iso,latitude,longitude,population
100,Badhoevedorp-Sloterweg,,52.33400300025121,4.7740060003231,126130
101,Amsterdam-Hoogtij,,52.42801700027339,4.7734780002434976,50000
102,Amsterdam-Einsteinweg,,52.38133100023151,4.845232999687698,158186
1065352,Kaiapoi,,-43.384643,172.652,588036
2162609,AIRVAULT - Stade Laillé,,46.82379500017337,-0.1356339998719463,50000
2162610,place de VERDUN,,46.162646999892345,-1.1536839998531525,50000
2162611,Niort Venise,,46.320026000248056,-0.4828609996053624,639741
2162612,Niort - Tassigny,,46.333880000156256,-0.4718780002106698,189312
2162613,Zoodyssée Chizé,,46.14323400001607,-0.3959130003733639,50000
2162614,AMBES,,45.0147800000761,-0.5339420004209319,135109
2162615,LE TEMPLE,,44.86581000007468,-0.9399999995896752,50000
2162616,BASSENS,,44.90029500003576,-0.5158349997004273,50000
2162617,Bordeaux_GAUTIER,,44.83382400000155,-0.5985249997570591,86072
2162618,GRAND PARC,,44.86120999988481,-0.5803700002542934,50000
2162619,MERIGNAC,,44.84137300016613,-0.6510679997143803,50000
2162620,TALENCE,,44.80045999978738,-0.5893979996894178,50000
2162621,TARTAS Pelletrin,,43.8388750000506,-0.8120299999203918,50000
2162622,MONT-DE-MARSAN - MIDOUZE,,43.88897299969277,-0.507028000198241,95929
2162623,SAINT-CROUTS,,43.47981999995059,-1.4891570004380286,50000
2162624,ANGLET,,43.49404000017032,-1.5287529999219422,50000
2162625,LAGOR,,43.40986000001429,-0.6731549997759056,539540
2162626,MASLACQ,,43.43645499987458,-0.6950409999959786,50000
2162627,LACQ,,43.41123000001728,-0.6177279999214217,66256
2162628,MOURENX,,43.377193000060586,-0.6102779999790028,50000
2162629,LABASTIDE CEZERACQ,,43.37627800002402,-0.5382060003423965,50000
2162630,BILLERE,,43.31080000018875,-0.3915430001466884,70712
2162631,Terrain de Sel,,-20.928686000272183,55.33258000019697,50000
2162632,Plateau Caillou,,-21.022112000275254,55.26677299957384,105192
2162633,Verneuil,,46.81469300005123,2.6100689998624795,50000
2162634,Tours péri-urbaine,,47.46924999996739,0.7173330000969164,50000
2162635,Blois nord,,47.59425699982933,1.3026669998814109,50000
2162636,Blois_trafic,,47.5865439999998,1.326533000175409,963586
2162637,St Jean de la Ruelle,,47.91030000020504,1.8734310003922647,58674
2162638,Dreux Centre,,48.72969400021079,1.3584720000276689,50000
2162639,Chartres_trafic,,48.449157999734346,1.4924689999573642,205626
2162640,Montargis Les Cites,,48.001449999942366,2.7261799999029237,50000
2162641,Montargis_trafic,,48.00693499977585,2.740110999667196,81903
2162643,Fort-de-France - Hôtel de ville,,14.607443999603946,-61.0697800003841,50000
2162644,Kourou Gaston Monnerville Brady,,5.164247999692364,-52.64649000042069,50000
2162645,Matiti,,5.034601999769139,-52.56379299979305,80442
2162647,ST de Baie mahault,,16.257306999740155,-61.59172400036071,181262
2162648,ABYMES RN1,,16.25408599985263,-61.53713000018436,77424
2162649,PTP-VICTOIRE,,16.236739999700003,-61.534099999799,50338
2162650,SXM Marigot,,18.070113999749537,-63.081481999774944,50000
2162653,BASTIA FANGO,,42.70283000021266,9.446388999863627,50000
2162654,Saze Gard Rhodanien2,,43.94260000015324,4.67957999976296,50000
2162655,Nimes Gauzy,,43.83440000024367,4.3743999997655765,50000
2162656,Perpignan Les Carmes,,42.695500000148186,2.900529999724992,292343
2162657,Perpignan bd Pyrénées,,42.69587000014181,2.888482999775176,100250
2162658,Agathois-piscénois,,43.28749999998123,3.5048399998931283,50000
2162659,Montpellier Périurbaine Sud (Lattes),,43.5704999997927,3.9118000001336015,97355
2162661,Montpellier Chaptal,,43.61129999975813,3.866260000229952,50000
2162662,Montpellier Liberté,,43.61160700016004,3.8278680001449295,50000
2162663,Montpellier St Gely,,43.69260000015368,3.8002099999325702,149868
2162664,Castres stadeTravet,,43.61049699972671,2.2301500000663044,281109
2162665,Albi Delmas,,43.92777000011117,2.1458969996872663,242054
2162666,Bessières-ECONOTRE,,43.803140000033615,1.5954750002389686,50000
2162667,Toulouse Rte Albi,,43.643943999839024,1.4682439996381662,50000
2162668,Toulouse - Aéroport Blagnac côté trafic,,43.63347599975306,1.3757169998594143,98409
2162669,Toulouse école m. Jacquier,,43.57569499986907,1.4180640000694156,258672
2162670,Toulouse Port de l'Embouchure,,43.61038600005261,1.4152000002637386,50000
2162671,Toulouse Berthelot,,43.58734500001323,1.4440030003237578,50000
